basura_papel,basura_plastico,basura_resto,basura_organico,basura_cristal,edad,genero,estado_civil,hijos,tipo_vivienda,nivel_estudios,profesion,cant_aluminio,cant_plastico,cant_cristal,kg_papel,kg_organico
1,1,0,0,0,39,0,2,1,1,3,8,360,359,326,370.48,380.44
0,1,1,1,1,21,0,0,0,0,4,15,352,355,349,395.19,396.73
0,1,0,0,1,32,1,2,0,0,5,11,347,344,318,374.29,412.48
1,1,0,1,0,23,1,0,0,0,4,5,390,351,290,397.53,391.43
1,1,0,1,0,73,0,1,1,0,4,14,332,351,337,419.49,381.58
1,0,1,0,1,28,0,0,0,2,3,12,354,332,356,359.26,368.86
1,1,0,1,0,40,1,0,0,0,5,15,322,335,276,350.25,360.78
0,1,1,1,0,20,1,0,0,0,3,0,346,378,328,367.93,399.54
1,1,0,1,0,24,0,0,0,0,5,2,340,341,320,419.21,407.81
1,1,1,0,1,25,0,0,0,0,5,8,379,362,330,412.73,426.08
0,1,0,0,1,24,0,0,0,0,5,11,355,344,357,429.44,411.92
1,0,1,0,0,52,1,2,2,3,1,12,377,371,332,400.86,375.12
1,1,0,0,1,33,0,0,0,0,4,23,338,328,321,331.71,358.69
1,1,1,0,0,41,0,2,1,1,4,11,357,341,320,413.82,402.89
1,1,0,1,0,39,1,0,0,1,1,0,364,330,338,371.96,373.24
1,1,0,0,0,27,1,0,0,3,4,8,324,327,321,348.55,359.17
1,0,1,0,0,32,0,2,2,0,4,14,376,370,347,352.35,360.53
1,1,1,1,0,18,1,0,0,2,4,2,329,336,346,341.36,367.14
1,0,1,0,1,31,1,2,1,0,4,7,376,360,339,406.93,377.64
1,0,0,0,1,29,1,0,0,0,4,3,370,343,321,363.54,359.55
1,0,0,0,0,26,0,0,0,3,1,3,335,342,330,398.79,391.54
1,1,0,0,0,29,0,0,0,0,3,14,317,321,328,376.7,410.9
0,1,0,1,0,62,1,1,3,0,4,0,362,347,355,384.31,393.48
1,0,0,1,1,27,1,0,0,0,4,13,358,348,337,408.18,405.12
1,1,1,0,0,34,0,2,1,0,5,0,314,357,291,339.7,392.18
0,0,1,1,0,22,1,0,0,1,5,10,343,391,355,389.8,432.04
1,1,0,0,0,25,1,0,0,0,1,11,335,342,283,385.98,366.82
0,1,1,1,0,33,1,2,2,0,5,6,340,321,363,347.23,375.21
1,1,0,0,0,67,1,1,0,0,2,4,354,378,342,381.75,395.18
1,1,0,1,0,28,1,0,0,1,4,20,388,383,330,441.3,430.24
1,1,1,1,0,33,0,2,0,0,2,8,386,390,386,436.36,392.5
1,1,1,0,0,27,1,0,0,0,5,23,332,337,355,405.17,384.61
1,1,0,0,0,22,0,0,0,3,4,4,346,365,328,375.8,397.73
0,1,1,1,0,65,0,1,2,1,4,16,376,356,358,404.91,425.57
0,1,1,0,1,29,1,0,0,0,3,11,322,349,348,406.6,354.64
1,1,0,1,0,52,0,2,2,2,7,10,370,352,332,413.89,441.81
1,1,1,1,1,21,1,0,0,0,5,13,364,345,317,396.64,377.45
1,1,0,1,1,21,1,0,0,2,3,11,388,372,300,371.08,355.72
1,1,0,0,0,23,1,0,0,1,4,1,340,362,296,395.93,379.54
1,1,0,1,0,29,0,0,0,0,3,1,344,353,336,399.51,366.96
1,0,0,0,0,28,1,0,0,0,6,15,379,388,356,461.78,378.79
1,1,0,0,1,27,1,0,0,0,1,8,331,348,307,371.53,373.47
1,1,0,1,0,19,1,0,0,0,0,21,351,340,341,383.46,362.54
1,1,1,0,1,19,1,0,0,1,5,18,332,346,342,393.42,391.17
0,0,1,0,1,23,0,0,0,0,3,9,345,324,321,386.71,410.47
1,1,0,1,0,63,1,3,0,1,4,9,406,363,299,415.77,403.11
1,0,0,1,0,24,0,0,0,0,4,2,380,349,342,425.8,354.4
1,0,0,1,0,29,1,0,0,0,5,7,346,342,320,369.2,394.45
1,1,0,1,1,27,0,0,0,0,4,11,374,367,342,385.37,391.72
0,1,0,0,0,33,1,2,1,0,1,1,319,333,311,396.98,358.17
1,1,0,1,0,30,1,0,0,1,5,2,390,367,347,419.24,415.46
1,1,0,0,0,22,1,0,0,1,7,6,367,363,341,415.48,391.77
1,1,0,0,0,42,0,2,2,0,7,0,341,337,337,348.03000000000003,352.41
1,1,0,1,0,21,0,0,0,0,7,23,339,368,337,419.07,364.45
1,1,0,0,0,19,1,0,0,0,5,13,322,348,326,384.98,383.86
0,1,1,0,0,21,0,0,0,0,3,23,353,329,308,384.4,337.86
1,1,0,0,0,75,1,2,2,0,4,13,312,362,379,392.1,411.53
1,1,1,1,0,26,0,0,0,0,6,14,338,342,307,390.47,379.2
1,1,0,1,0,32,1,2,0,1,5,5,344,358,316,395.23,382.43
1,0,0,0,0,21,1,0,0,3,2,8,380,355,317,369.9,400.44
0,1,0,0,0,19,1,0,0,0,5,1,383,398,365,406.14,439.31
1,0,1,0,0,64,1,2,0,2,4,4,332,353,325,375.44,387.85
1,0,1,1,0,30,0,0,0,0,3,8,376,357,332,398.6,391.69
0,0,0,0,0,28,1,0,0,1,4,16,341,342,328,359.64,338.88
1,1,0,1,1,48,0,2,2,0,0,23,345,332,320,413.86,439.77
1,0,0,1,1,26,1,0,0,0,4,13,329,367,316,404.54,415.91
1,1,0,1,1,78,1,1,0,0,3,17,355,344,303,408.75,437.13
1,1,1,1,0,59,0,0,0,0,5,2,359,325,319,405.05,436.07
1,0,0,1,0,70,0,1,1,0,4,18,337,368,328,389.13,399.52
1,1,0,0,0,37,1,2,0,3,3,6,368,331,314,388.01,388.34
1,1,0,1,0,26,1,0,0,0,4,14,356,344,274,394.14,380.69
1,1,0,0,1,43,1,2,2,0,4,3,350,342,355,402.47,417.73
1,1,1,0,0,24,0,0,0,0,4,23,359,358,351,391.08,411.6
1,0,1,0,1,34,1,2,2,0,7,6,363,358,302,381.95,391.17
0,1,0,1,0,61,0,2,1,1,2,13,339,336,328,399.81,366.77
0,1,0,0,1,25,0,0,0,0,7,13,358,348,347,391.08,377.79
1,0,0,1,0,26,1,0,0,0,0,7,325,362,314,378.1,359.74
1,0,1,0,0,29,1,0,0,0,1,1,352,368,359,428.67,398.85
1,0,0,0,0,26,0,0,0,0,5,6,323,335,290,372.79,347.54
1,0,1,1,0,50,0,2,1,0,3,1,355,371,349,397.42,413.85
1,1,1,1,0,48,0,0,0,0,4,8,346,345,323,383.29,395.6
0,1,0,0,1,22,1,0,0,0,5,11,353,336,343,381.71,374.16
1,0,0,0,0,32,1,0,0,0,0,3,336,370,303,418.04,435.89
0,1,1,1,0,19,1,0,0,0,2,1,347,329,320,376.27,384.92
1,1,1,0,0,20,0,0,0,0,7,8,349,369,315,363.04,390.44
1,1,0,0,0,37,1,2,0,0,3,5,366,364,350,408.42,421.13
0,1,1,1,0,24,0,0,0,0,4,18,316,317,295,378.21,348.78
1,0,0,1,0,51,0,2,0,1,5,6,357,347,344,420.2,389.85
1,1,0,0,1,25,0,0,0,0,0,8,371,331,308,417.53,396.99
1,1,0,0,0,48,1,0,0,0,5,10,326,353,292,395.13,410.38
1,1,0,0,0,26,0,0,0,1,1,3,345,343,309,373.5,362.53
1,1,0,1,0,33,0,2,0,1,3,0,362,358,338,412.81,378.09
1,0,0,0,1,33,0,2,0,0,5,8,373,364,344,375.44,357.64
1,1,1,0,0,54,1,2,0,0,4,15,368,358,295,408.74,436.68
0,1,0,0,1,21,1,0,0,0,5,11,343,342,296,383.02,360.75
1,1,0,1,1,46,1,0,0,0,5,11,339,350,380,360.92,412.85
1,1,1,0,0,18,0,0,0,0,2,3,343,351,321,389.88,386.72
1,1,1,0,0,30,0,2,0,0,5,13,368,357,360,386.43,376.2
1,1,1,0,0,70,0,2,0,0,3,8,319,332,276,346.8,386.73
1,1,0,1,0,23,0,0,0,0,4,14,335,331,338,384.58,391.07
1,1,1,1,0,26,0,0,0,0,6,18,329,352,302,363.9,380.56
1,1,0,0,0,35,0,2,0,3,4,23,358,351,319,396.12,406.37
1,1,1,1,0,32,1,0,0,0,7,6,355,355,311,413.02,385.16
1,0,1,0,0,76,1,2,2,0,7,11,377,354,376,430.98,413.13
1,1,0,0,0,50,1,0,0,0,2,23,327,355,283,397.42,390.7
1,1,0,0,0,27,1,0,0,0,2,11,326,349,344,383.92,361.62
1,0,0,0,0,52,1,0,0,0,5,23,358,359,347,380.92,367.18
1,0,0,0,0,30,0,0,0,0,3,10,343,374,321,397.09,399.85
1,1,1,0,0,21,0,0,0,0,4,7,357,344,300,365.15,379.73
1,1,0,0,0,33,0,2,1,0,4,7,356,320,338,402.8,402.32
1,1,0,0,0,56,1,2,0,2,2,14,347,338,286,360.92,359.55
1,1,0,0,1,40,1,2,0,0,3,18,322,330,276,355.86,351.36
1,0,0,0,1,31,1,0,0,0,5,15,366,401,354,420.81,368.66
0,1,0,1,0,32,1,2,1,0,1,4,353,339,343,377.15,361.07
1,1,0,0,0,50,0,2,0,0,3,10,344,339,341,368.11,388.45
1,1,0,0,1,20,1,0,0,0,0,23,349,347,328,371.42,398.76
1,1,0,1,0,24,0,0,0,0,4,11,329,321,328,377.12,381.96
1,0,0,0,0,33,0,2,2,0,0,3,351,370,331,393.56,400.95
1,1,0,1,0,22,1,0,0,0,3,12,340,324,315,376.99,388.88
1,1,0,0,0,29,0,0,0,2,4,18,367,379,335,420.42,390.36
0,1,1,0,0,28,0,0,0,0,4,14,332,308,299,343.48,343.08
1,1,0,0,0,19,1,0,0,0,2,9,355,343,358,371.91,373.29
1,1,1,0,0,22,0,0,0,0,3,14,363,376,351,379.19,419.43
1,1,0,0,1,32,1,2,2,1,0,11,358,370,354,426.39,453.51
1,0,1,0,1,80,1,3,2,1,1,0,328,344,314,383.35,396.56
1,1,1,1,0,22,0,0,0,1,5,14,322,313,341,395.72,390.41
1,1,1,0,0,24,0,0,0,3,5,6,314,363,346,412.87,408.34
1,1,0,0,0,24,1,0,0,0,4,17,356,364,361,391.03,396.74
1,1,0,0,1,25,1,0,0,3,3,0,343,370,333,368.89,400.06
1,1,1,0,1,76,0,3,2,0,3,14,353,368,348,403.36,411.98
1,1,1,0,0,20,1,0,0,0,5,10,343,364,337,393.32,387.64
1,1,1,1,1,25,1,0,0,0,3,8,370,348,307,414.77,393.08
0,1,1,0,0,35,0,0,0,0,2,4,329,342,305,387.97,367.07
1,0,0,1,0,40,1,0,0,0,5,8,336,363,344,386.9,411.05
1,1,1,1,0,34,0,0,0,0,2,8,343,323,356,361.84,372.45
1,1,0,1,0,21,0,0,0,0,4,1,356,315,340,335.44,376.62
1,1,1,0,0,73,0,1,2,0,4,3,311,346,311,403.05,392.99
1,1,0,0,1,24,0,0,0,3,6,0,356,343,341,391.93,407.55
1,1,0,1,0,19,0,0,0,0,0,18,366,364,302,393.8,377.97
1,1,0,0,1,34,0,2,0,0,4,3,313,350,313,414.89,375.52
1,1,1,1,1,26,1,0,0,0,1,10,346,370,308,368.14,409.49
1,0,1,0,0,18,0,0,0,0,7,12,354,354,352,375.42,408.12
1,1,1,1,0,45,0,0,0,1,3,10,333,327,325,365.13,355.94
1,1,0,0,0,62,0,3,1,0,2,15,344,335,349,356.18,384.3
1,1,1,0,0,30,1,0,0,2,5,13,338,340,306,380.94,370.93
1,1,0,1,1,32,0,0,0,0,4,22,389,357,372,400.9,401.55
1,1,0,0,1,29,1,0,0,0,5,23,339,366,319,408.22,419.82
1,1,1,0,0,67,0,2,0,2,0,14,326,337,293,374.3,356.03
1,1,0,1,1,60,1,2,0,0,3,12,367,343,313,394.32,425.48
1,0,1,0,1,41,1,2,2,0,1,1,409,362,337,418.31,420.42
0,1,1,0,0,24,1,0,0,0,5,6,349,350,338,362.49,353.21
1,1,1,0,0,20,1,0,0,0,2,8,361,333,342,419.68,370.97
1,1,0,1,0,57,0,0,0,0,5,7,334,344,316,425.64,409.14
0,1,0,1,1,61,0,2,1,0,5,8,355,381,320,404.9,396.31
1,1,1,0,0,34,0,2,0,0,1,17,351,351,361,373.68,373.78
0,1,0,1,1,19,1,0,0,0,4,10,343,351,324,394.7,405.39
1,0,1,0,0,34,0,2,1,0,4,22,350,339,330,416.63,409.85
1,1,1,0,0,80,0,3,2,0,5,7,374,364,324,439.58,387.33
1,1,0,0,0,55,1,0,0,0,5,3,322,350,325,392.67,388.17
1,1,1,1,0,49,0,2,1,2,7,1,347,324,353,401.8,366.96
1,1,1,0,0,41,0,0,0,0,2,13,319,367,295,396.7,409.35
1,1,0,1,0,23,0,0,0,0,6,6,364,395,350,390.24,365.31
0,1,0,0,0,27,0,0,0,0,5,14,334,377,352,378.54,398.24
1,0,1,1,0,75,1,2,2,3,5,15,339,339,326,360.44,356.92
1,1,1,0,0,22,0,0,0,1,5,14,354,342,334,388.38,374.68
1,1,0,0,1,72,0,3,0,0,7,1,370,374,315,422.18,387.1
1,1,0,0,1,23,0,0,0,0,2,0,371,338,330,377.88,349.39
1,1,0,1,0,27,1,0,0,1,5,14,310,322,320,353.71,376.55
0,0,0,0,1,74,0,3,1,1,2,10,351,339,343,363.05,382.36
1,1,1,0,1,34,1,0,0,0,3,3,354,368,305,401.84,394.55
1,1,0,0,0,19,1,0,0,0,0,21,385,335,301,407.23,434.7
1,1,0,0,0,25,0,0,0,1,3,9,342,338,315,368.56,351.33
1,1,0,0,0,27,0,0,0,0,4,5,347,376,311,428.71,366.23
1,0,1,0,1,26,1,0,0,0,5,12,333,328,314,356.74,369.65
1,1,0,0,0,28,0,0,0,0,5,1,345,365,349,414.02,398.83
1,0,1,0,0,80,0,1,2,0,5,7,354,348,325,368.48,409.19
1,1,0,1,1,18,1,0,0,0,2,15,353,357,332,414.1,406.1
1,1,0,0,0,26,1,0,0,0,4,16,381,356,370,393.1,406.13
0,1,1,0,0,28,1,0,0,0,4,5,410,395,362,440.84,444.77
1,1,1,1,0,39,0,0,0,3,4,7,329,335,287,383.9,363.48
1,1,0,1,0,46,1,0,0,0,5,8,374,383,366,425.66,385.1
1,0,1,1,0,24,1,0,0,2,5,4,336,318,311,377.85,408.96
1,1,0,0,0,33,0,2,2,0,3,5,369,365,349,419.65,401.94
1,1,0,1,0,62,0,1,1,0,4,19,360,365,321,398.55,394.73
1,0,1,0,0,33,1,2,1,2,5,10,385,370,326,419.27,416.48
1,1,0,0,1,31,1,2,1,0,4,7,382,354,320,432.77,365.55
1,1,1,1,0,22,0,0,0,1,5,15,355,337,306,397.22,382.5
1,1,1,0,0,28,1,0,0,0,7,2,329,343,315,348.21,368.47
1,1,0,1,0,27,1,0,0,1,5,1,342,376,318,370.12,399.67
1,1,0,1,1,73,1,1,0,0,3,6,354,376,318,380.02,381.08
1,1,0,0,0,34,0,2,0,0,5,8,343,316,366,393.81,395.43
1,1,1,0,0,79,1,2,1,1,2,10,329,358,325,369.62,373.61
1,0,0,0,0,49,0,0,0,1,5,0,352,350,326,388.68,422.78
1,1,0,0,1,23,1,0,0,1,5,12,341,326,268,401.98,387.43
1,1,1,0,0,21,1,0,0,0,5,5,340,340,305,357.24,368.14
1,1,1,1,0,26,1,0,0,1,2,9,359,348,322,408.2,405.97
1,1,0,0,0,21,0,0,0,1,3,14,363,340,327,380.66,411.2
1,0,1,0,0,21,1,0,0,0,3,23,412,404,368,411.43,433.88
1,1,1,1,0,25,0,0,0,1,2,16,316,332,302,357.53,341.24
0,0,0,0,0,31,0,2,2,0,2,14,340,363,307,372.8,410.95
1,1,0,0,0,20,1,0,0,3,5,7,367,396,347,402.52,420.45
1,1,0,0,1,56,0,2,1,1,3,0,346,387,372,416.02,419.93
0,0,0,1,0,75,1,1,0,0,3,0,329,335,286,369.22,372.88
1,1,1,1,0,34,0,0,0,0,1,2,345,325,326,404.33,399.39
1,1,0,1,0,51,0,0,0,2,2,10,344,341,324,349.31,346.8
0,1,1,0,0,46,0,2,2,0,5,8,378,345,343,382.05,437.21
1,1,0,1,0,66,0,2,2,2,4,12,334,382,329,365.38,392.18
0,1,0,0,0,31,1,2,0,0,4,15,341,343,343,380.0,388.84
1,1,0,1,0,20,1,0,0,0,0,21,373,386,338,409.55,404.41
1,1,1,0,0,26,0,0,0,1,3,16,304,294,316,358.82,369.29
1,1,0,1,0,18,1,0,0,0,4,0,323,328,308,370.77,349.96
1,1,0,0,1,23,0,0,0,0,5,2,343,355,345,368.95,382.33
1,0,1,0,0,66,1,1,4,3,2,12,356,372,336,367.79,429.42
1,1,0,1,0,51,0,0,0,0,5,15,336,375,347,440.23,357.18
1,1,1,0,0,28,1,0,0,0,2,10,350,393,324,421.87,425.73
1,1,0,0,1,46,0,0,0,0,3,8,374,378,294,430.31,387.2
1,1,0,1,1,26,0,0,0,0,4,18,332,365,303,378.18,411.04
1,1,1,0,0,18,0,0,0,0,1,18,330,346,316,344.42,376.74
1,0,0,1,0,39,1,0,0,0,4,16,332,351,290,400.35,401.03
1,1,0,1,0,54,1,0,0,0,7,17,383,357,329,412.13,420.4
0,1,1,1,0,29,0,0,0,1,4,16,370,340,377,462.31,400.12
1,0,0,0,0,31,1,0,0,0,3,2,341,378,325,370.28,386.1
0,1,0,1,1,33,1,2,2,0,1,23,330,355,320,403.57,419.87
1,0,0,0,0,31,0,2,0,1,5,6,345,370,354,379.41,346.05
1,1,1,1,0,78,0,2,2,0,3,17,390,333,360,395.22,386.52
1,0,0,1,1,20,1,0,0,0,4,8,384,357,324,430.92,386.78
1,0,0,0,1,74,0,1,4,0,1,18,352,339,293,366.9,376.19
1,1,0,1,0,77,1,1,0,1,2,11,328,357,333,404.75,373.54
0,0,0,0,1,23,1,0,0,0,4,10,368,351,347,413.57,405.94
1,0,1,0,0,47,0,0,0,2,2,18,375,350,321,377.86,403.67
0,1,0,1,0,30,0,0,0,1,5,5,340,336,262,417.13,350.27
1,1,1,1,1,75,0,1,4,0,0,15,326,321,320,385.58,401.03
1,1,1,1,0,26,1,0,0,0,3,5,326,320,308,335.65,382.86
0,1,1,1,1,80,1,1,4,0,5,4,371,370,348,392.93,404.45
1,1,0,1,0,20,0,0,0,0,4,16,358,350,328,383.31,351.31
1,0,1,1,0,22,1,0,0,1,5,16,371,368,327,412.51,431.62
1,0,1,0,1,27,1,0,0,0,2,16,341,343,322,380.94,396.64
1,0,0,1,0,19,0,0,0,1,4,15,361,364,350,445.93,386.99
1,1,0,1,0,32,0,2,1,0,5,23,370,364,337,414.08,419.47
1,1,0,1,0,60,0,1,1,0,2,15,374,360,351,403.45,392.4
1,1,0,0,0,30,0,2,1,0,5,12,333,314,316,353.25,359.36
1,1,1,0,0,41,1,2,2,0,2,17,380,358,338,372.22,405.05
1,1,0,1,0,23,1,0,0,1,3,12,367,314,314,346.32,395.25
1,0,0,1,0,23,0,0,0,0,5,8,344,372,359,400.82,403.18
1,1,1,0,0,33,1,0,0,0,4,2,380,364,328,388.24,413.62
0,1,0,0,0,75,0,1,2,2,3,16,351,348,323,376.45,411.83
1,1,0,0,0,50,1,0,0,2,4,20,339,368,325,398.76,399.54
1,0,1,0,0,28,0,0,0,0,6,15,361,363,326,362.67,410.86
1,0,0,1,0,58,1,2,1,1,5,9,335,305,283,388.22,354.68
1,1,0,1,0,49,0,2,0,0,5,7,374,353,326,387.85,375.05
1,1,1,1,0,33,0,0,0,0,5,6,346,318,296,356.37,399.7
0,1,0,0,0,32,1,2,0,0,5,11,345,327,337,370.04,372.09
1,1,0,1,1,28,0,0,0,1,4,23,336,335,324,341.77,376.33
1,1,0,1,0,42,0,2,2,0,1,1,343,357,330,407.71,385.19
1,0,0,1,0,44,1,2,2,3,1,2,376,366,345,437.6,414.14
1,1,1,0,0,18,0,0,0,0,4,17,374,340,314,414.51,400.96
0,1,1,0,0,23,0,0,0,2,4,14,342,360,336,410.55,363.11
1,1,1,0,0,28,0,0,0,0,4,14,347,336,312,406.42,385.03
1,1,1,1,1,56,1,2,1,0,5,6,353,344,321,405.5,398.81
1,1,0,0,0,52,0,0,0,0,4,14,351,329,327,397.32,378.54
1,1,1,1,0,19,0,0,0,0,3,15,360,363,339,401.6,401.33
1,1,0,0,1,45,1,0,0,0,3,16,358,369,320,376.5,402.85
1,0,1,0,0,18,0,0,0,0,3,15,347,349,334,355.57,390.22
0,1,0,1,0,21,1,0,0,2,0,8,377,371,419,425.36,417.54
1,0,0,0,0,37,1,0,0,0,5,1,347,329,319,374.0,405.59
1,1,0,0,0,23,1,0,0,1,3,2,329,337,325,395.64,411.89
1,1,1,1,1,32,1,0,0,1,5,11,381,359,336,417.04,404.36
1,0,1,0,1,26,1,0,0,0,5,6,354,339,326,340.27,366.75
1,0,0,1,1,29,1,0,0,0,4,5,356,372,347,413.48,409.0
1,1,1,0,0,34,0,2,1,0,4,11,353,367,322,391.41,419.07
1,1,1,1,1,71,1,1,4,0,5,7,338,349,286,392.14,380.06
1,1,1,1,0,28,1,0,0,1,4,11,353,366,328,400.05,380.79
0,0,1,1,1,41,0,0,0,0,1,12,338,346,313,341.73,364.37
0,1,0,0,1,22,1,0,0,0,5,10,364,373,373,365.02,437.46
0,1,1,1,0,26,1,0,0,3,4,5,344,386,340,418.49,390.14
0,1,0,0,0,47,1,2,1,0,3,10,377,337,348,363.31,413.24
1,1,0,1,0,60,1,3,3,0,5,11,323,322,298,396.58,395.86
0,1,0,0,0,27,1,0,0,0,2,17,352,373,335,411.33,389.06
1,0,0,1,0,33,1,2,2,1,5,9,394,354,342,461.64,392.66
0,1,1,0,0,34,0,2,0,0,7,5,342,359,368,382.38,396.6
1,0,0,0,0,18,0,0,0,0,5,11,331,346,315,370.68,357.9
1,0,1,0,0,24,1,0,0,0,2,5,348,355,314,399.7,384.72
0,1,1,0,0,46,0,0,0,0,1,18,399,382,406,458.11,434.67
1,1,0,1,1,47,0,2,1,0,2,13,361,354,318,437.27,423.91
1,1,0,1,0,33,1,0,0,3,4,23,317,323,311,419.41,378.43
1,1,0,0,0,34,0,0,0,0,5,8,350,368,321,397.39,407.11
1,1,1,1,1,29,0,0,0,0,4,1,337,337,303,377.36,386.03
0,1,0,0,0,32,1,2,2,0,5,15,350,315,336,386.18,355.54
0,0,0,0,0,18,1,0,0,1,4,8,355,347,332,393.98,415.21
1,0,1,0,1,38,0,2,1,0,3,0,388,370,320,407.35,426.31
