id_usuario,cant_aluminio,cant_plastico,cant_cristal,kg_papel,kg_organico
194,355,343,358,371.91,373.29
195,363,376,351,379.19,419.43
196,358,370,354,426.39,453.51
197,328,344,314,383.35,396.56
198,322,313,341,395.72,390.41
199,314,363,346,412.87,408.34
200,356,364,361,391.03,396.74
201,343,370,333,368.89,400.06
202,353,368,348,403.36,411.98
203,343,364,337,393.32,387.64
204,370,348,307,414.77,393.08
205,329,342,305,387.96999999999997,367.07
206,336,363,344,386.9,411.05
207,343,323,356,361.84,372.45
208,356,315,340,335.44,376.62
209,311,346,311,403.05,392.99
210,356,343,341,391.93,407.55
211,366,364,302,393.8,377.96999999999997
212,313,350,313,414.89,375.52
213,346,370,308,368.14,409.49
214,354,354,352,375.42,408.12
215,333,327,325,365.13,355.94
216,344,335,349,356.18,384.3
217,338,340,306,380.94,370.93
218,389,357,372,400.9,401.55
219,339,366,319,408.22,419.82
220,326,337,293,374.3,356.03
221,367,343,313,394.32,425.48
222,409,362,337,418.31,420.42
223,349,350,338,362.49,353.21
224,361,333,342,419.68,370.97
225,334,344,316,425.64,409.14
226,355,381,320,404.9,396.31
227,351,351,361,373.68,373.78
228,343,351,324,394.7,405.39
229,350,339,330,416.63,409.85
230,374,364,324,439.58,387.33
231,322,350,325,392.67,388.17
232,347,324,353,401.8,366.96
233,319,367,295,396.7,409.35
234,364,395,350,390.24,365.31
235,334,377,352,378.54,398.24
236,339,339,326,360.44,356.92
237,354,342,334,388.38,374.68
238,370,374,315,422.18,387.1
239,371,338,330,377.88,349.39
240,310,322,320,353.71,376.55
241,351,339,343,363.05,382.36
242,354,368,305,401.84,394.55
243,385,335,301,407.23,434.7
244,342,338,315,368.56,351.33
245,347,376,311,428.71,366.23
246,333,328,314,356.74,369.65
247,345,365,349,414.02,398.83
248,354,348,325,368.48,409.19
249,353,357,332,414.1,406.1
250,381,356,370,393.1,406.13
251,410,395,362,440.84,444.77
252,329,335,287,383.9,363.48
253,374,383,366,425.66,385.1
254,336,318,311,377.85,408.96
255,369,365,349,419.65,401.94
256,360,365,321,398.55,394.73
257,385,370,326,419.27,416.48
258,382,354,320,432.77,365.55
259,355,337,306,397.22,382.5
260,329,343,315,348.21,368.47
261,342,376,318,370.12,399.67
262,354,376,318,380.02,381.08
263,343,316,366,393.81,395.43
264,329,358,325,369.62,373.61
265,352,350,326,388.68,422.78
266,341,326,268,401.98,387.43
267,340,340,305,357.24,368.14
268,359,348,322,408.2,405.97
269,363,340,327,380.66,411.2
270,412,404,368,411.43,433.88
271,316,332,302,357.53,341.24
272,340,363,307,372.8,410.95
273,367,396,347,402.52,420.45
274,346,387,372,416.02,419.93
275,329,335,286,369.22,372.88
276,345,325,326,404.33,399.39
277,344,341,324,349.31,346.8
278,378,345,343,382.05,437.21
279,334,382,329,365.38,392.18
280,341,343,343,380.0,388.84
281,373,386,338,409.55,404.40999999999997
282,304,294,316,358.82,369.29
283,323,328,308,370.77,349.96
284,343,355,345,368.95,382.33
285,356,372,336,367.79,429.42
286,336,375,347,440.23,357.18
287,350,393,324,421.87,425.73
288,374,378,294,430.31,387.2
289,332,365,303,378.18,411.04
290,330,346,316,344.42,376.74
291,332,351,290,400.35,401.03
292,383,357,329,412.13,420.4
293,370,340,377,462.31,400.12
294,341,378,325,370.28000000000003,386.1
295,330,355,320,403.57,419.87
296,345,370,354,379.41,346.05
297,390,333,360,395.22,386.52
298,384,357,324,430.92,386.78
299,352,339,293,366.9,376.19
300,328,357,333,404.75,373.54
301,368,351,347,413.57,405.94
302,375,350,321,377.86,403.67
303,340,336,262,417.13,350.27
304,326,321,320,385.58,401.03
305,326,320,308,335.65,382.86
306,371,370,348,392.93,404.45
307,358,350,328,383.31,351.31
308,371,368,327,412.51,431.62
309,341,343,322,380.94,396.64
310,361,364,350,445.93,386.99
311,370,364,337,414.08,419.47
312,374,360,351,403.45,392.4
313,333,314,316,353.25,359.36
314,380,358,338,372.21999999999997,405.05
315,367,314,314,346.32,395.25
316,344,372,359,400.82,403.18
317,380,364,328,388.24,413.62
318,351,348,323,376.45,411.83
319,339,368,325,398.76,399.54
320,361,363,326,362.67,410.86
321,335,305,283,388.22,354.68
322,374,353,326,387.85,375.05
323,346,318,296,356.37,399.7
324,345,327,337,370.04,372.09
325,336,335,324,341.77,376.33
326,343,357,330,407.71,385.19
327,376,366,345,437.6,414.14
328,374,340,314,414.51,400.96
329,342,360,336,410.55,363.11
330,347,336,312,406.42,385.03000000000003
331,353,344,321,405.5,398.81
332,351,329,327,397.32,378.54
333,360,363,339,401.6,401.33
334,358,369,320,376.5,402.85
335,347,349,334,355.57,390.22
336,377,371,419,425.36,417.54
337,347,329,319,374.0,405.59
338,329,337,325,395.64,411.89
339,381,359,336,417.04,404.36
340,354,339,326,340.27,366.75
341,356,372,347,413.48,409.0
342,353,367,322,391.41,419.07
343,338,349,286,392.14,380.06
344,353,366,328,400.05,380.79
345,338,346,313,341.73,364.37
346,364,373,373,365.02,437.46
347,344,386,340,418.49,390.14
348,377,337,348,363.31,413.24
349,323,322,298,396.58,395.86
350,352,373,335,411.33,389.06
351,394,354,342,461.64,392.66
352,342,359,368,382.38,396.6
353,331,346,315,370.68,357.9
354,348,355,314,399.7,384.72
355,399,382,406,458.11,434.67
356,361,354,318,437.27,423.91
357,317,323,311,419.41,378.43
358,350,368,321,397.39,407.11
359,337,337,303,377.36,386.03
360,350,315,336,386.18,355.54
361,355,347,332,393.98,415.21
362,388,370,320,407.35,426.31
363,355,356,343,380.42,400.44
364,348,333,356,359.27,392.65
365,349,334,326,357.84,379.45
366,357,347,356,390.2,377.29
367,369,350,296,398.95,415.56
368,373,339,292,380.97,332.88
369,358,330,312,396.38,374.72
370,323,308,327,350.46,367.76
371,338,325,302,367.26,406.95
372,338,339,298,392.62,370.52
373,395,367,356,404.31,393.87
374,358,363,349,429.99,406.58
375,352,374,344,382.11,387.11
376,340,366,291,376.51,397.74
377,379,351,327,375.62,410.04
378,364,328,351,418.3,438.78
379,363,379,342,418.7,417.29
380,346,347,344,369.28,377.35
381,380,377,375,404.62,400.47
382,347,324,340,362.33,411.78
383,335,373,351,390.12,391.61
384,346,351,337,387.49,381.77
385,342,345,330,371.02,382.17
386,372,320,276,383.37,382.0
387,357,364,317,401.69,382.24
388,363,362,367,401.58,396.29
389,360,335,335,393.84,413.98
390,342,353,315,373.42,372.78
391,345,344,325,389.15,391.33
392,362,396,353,388.67,416.37
393,339,342,333,398.85,361.92
394,388,351,357,403.79,381.56
395,372,341,341,402.48,363.86
396,380,351,357,387.18,425.25
397,317,318,314,340.61,375.26
398,359,353,327,415.83,398.95
399,338,362,347,416.74,397.55
400,360,336,340,400.16,374.22
401,365,360,346,398.28,386.16
402,338,337,332,364.48,355.6
403,355,349,331,370.49,378.37
404,355,333,334,396.82,385.0
405,402,360,342,449.28,403.87
406,319,331,297,363.86,380.82
407,379,375,339,384.85,445.74
408,370,368,347,409.77,397.34
409,351,357,299,370.24,368.56
410,345,363,353,414.77,398.9
411,359,365,326,405.02,390.64
412,334,370,300,410.21999999999997,375.76
413,380,354,319,387.39,418.7
414,317,335,307,348.48,328.27
415,292,307,305,340.52,336.05
416,347,355,323,408.13,408.78
417,336,321,348,388.61,400.33
418,395,386,360,418.43,449.25
419,351,345,361,379.63,368.68
420,339,341,355,360.82,381.95
421,349,373,323,408.03,392.63
422,339,321,338,392.55,380.05
423,338,337,323,352.28,393.44
424,358,370,328,363.27,397.93
425,339,342,291,399.21,378.51
426,354,364,330,407.92,416.81
427,338,327,334,374.9,357.4
428,360,341,314,347.88,407.99
429,343,370,298,384.08,388.34
430,325,322,297,366.98,350.44
431,360,383,342,442.88,401.82
432,334,312,329,376.28,370.08
433,325,323,314,369.98,349.12
434,360,325,355,362.59,395.6
435,354,335,351,381.01,419.74
436,360,351,349,399.19,401.74
437,361,353,332,392.99,382.26
438,333,352,329,397.36,400.63
439,345,330,315,385.56,386.56
440,353,360,352,392.75,397.73
441,341,378,300,364.75,373.42
442,323,306,314,338.14,373.31
443,356,333,342,382.04,398.68
444,354,319,299,396.32,398.47
445,327,350,284,373.35,362.13
446,357,349,279,404.57,380.35
447,361,367,370,384.96999999999997,423.72
448,360,356,347,424.96,393.87
449,363,395,335,412.62,399.2
450,367,354,359,399.6,423.96
451,330,341,330,358.85,391.12
452,363,358,345,397.7,377.13
453,361,376,349,377.75,393.06
454,351,350,359,388.85,406.57
455,355,369,341,408.23,399.03000000000003
456,343,328,313,335.33,370.23
457,377,343,354,362.3,449.19
458,382,345,283,357.65,361.53000000000003
459,343,362,306,350.12,390.6
460,340,313,334,381.21,432.74
461,367,353,329,381.54,388.56
462,370,357,341,397.72,407.76
463,359,364,339,394.71,410.87
464,383,375,357,400.47,416.21
465,334,351,308,374.54,401.32
466,352,352,304,383.39,416.29
467,338,313,277,373.64,346.88
468,347,359,316,353.52,379.96999999999997
469,368,339,334,383.03,383.53
470,326,322,305,356.57,409.47
471,344,355,371,409.64,418.26
472,369,360,363,378.35,374.54
473,370,350,335,385.3,396.85
474,366,384,331,416.73,428.74
475,398,343,341,377.89,379.2
476,364,368,347,388.71,434.1
477,349,325,310,345.46999999999997,383.28
478,338,347,306,374.05,390.19
479,371,349,363,411.91,412.84000000000003
480,355,344,341,378.19,389.75
481,389,376,379,396.18,411.27
482,345,326,277,370.98,362.81
483,375,344,340,367.25,416.73
484,338,343,314,366.83,362.73
485,344,381,308,361.46,390.56
486,335,337,308,400.12,357.66
487,360,352,334,380.26,385.29
488,336,350,320,382.52,369.55
489,328,360,336,419.75,407.92
490,354,315,329,379.36,372.1
491,339,336,297,388.51,362.06
492,354,363,313,393.64,381.35
493,364,366,311,373.24,370.29
494,358,365,329,345.68,361.73
495,382,349,338,409.21999999999997,407.42
496,324,358,334,366.26,368.89
497,339,369,286,383.4,372.75
498,325,330,295,353.15,396.99
499,380,401,328,425.04,416.88
500,336,350,334,358.59,411.4
501,347,321,332,356.52,356.13
502,337,369,318,360.47,366.23
503,367,350,327,393.69,401.63
504,333,346,341,389.79,395.18
505,370,394,379,431.62,457.57
506,332,380,327,410.46,381.52
507,358,371,307,355.4,378.77
508,338,325,283,348.63,348.91
509,347,350,338,376.88,357.57
510,348,357,299,388.06,384.07
511,338,339,306,397.73,413.05
512,380,365,350,411.52,432.54
513,354,391,273,382.0,408.99
514,380,333,337,393.33,421.77
515,344,368,311,354.31,354.59
516,328,290,316,358.9,370.34
517,361,341,349,385.95,388.68
518,336,330,325,355.21,405.26
519,359,366,332,389.62,382.56
520,357,379,375,437.2,401.44
521,374,369,332,381.95,378.04
522,337,358,292,394.39,375.86
523,358,350,303,410.75,422.29
524,367,321,288,378.53,397.75
525,335,358,345,400.36,437.49
526,310,325,302,379.33,391.64
527,331,319,302,334.23,342.06
528,305,317,293,360.66,341.19
529,357,400,305,409.15,401.24
530,352,321,320,377.41,368.11
531,315,325,325,351.23,355.41
532,374,362,333,421.84,423.87
533,345,325,335,394.36,388.34
534,353,302,337,408.92,360.12
535,337,320,281,370.31,375.01
536,384,360,308,415.18,417.61
537,363,335,308,377.71,396.47
538,384,345,361,441.63,410.94
539,344,357,329,385.17,409.71999999999997
540,397,385,356,464.92,389.83
541,363,342,328,374.69,357.81
542,326,339,303,398.44,372.32
543,348,369,340,394.71,399.94
544,371,370,335,405.38,381.71
545,338,360,359,371.07,382.48
546,338,347,296,387.51,389.77
547,337,360,317,396.87,396.03
548,360,338,346,381.8,364.79
549,364,337,362,363.82,373.16
550,359,372,346,400.19,427.96999999999997
551,350,375,324,392.66,397.05
552,319,361,300,399.67,383.85
553,353,360,325,391.02,372.41
554,330,364,356,397.06,417.11
555,369,332,346,418.09,415.68
556,378,373,305,375.58,381.39
557,318,318,293,381.07,350.05
558,348,328,316,387.26,401.56
559,369,399,389,447.32,411.68
560,335,340,336,366.01,408.13
561,328,311,308,346.89,350.81
562,372,343,365,358.31,382.4
563,339,335,304,415.28,329.40999999999997
564,346,381,309,363.31,367.88
565,336,345,309,357.6,393.48
566,355,336,297,370.55,385.76
567,335,338,337,376.06,376.62
568,335,337,318,376.81,372.75
569,364,379,333,423.07,365.61
570,331,379,293,368.28,353.3
571,331,327,321,383.46999999999997,377.05
572,371,344,320,381.79,386.39
573,340,337,349,392.29,385.87
574,359,336,300,399.95,371.96
575,358,347,334,429.29,412.82
576,371,363,356,408.25,399.89
577,340,313,299,394.57,397.35
578,348,316,321,373.28000000000003,394.46
579,379,373,347,412.01,419.91
580,335,359,291,382.57,362.79
581,332,351,340,419.44,380.15
582,371,340,334,416.03,389.29
583,364,361,317,381.53,402.57
584,311,299,310,362.12,389.54
585,369,340,307,352.41,394.22
586,347,357,321,419.37,394.48
587,350,363,356,433.88,406.74
588,335,335,326,404.03,387.05
589,365,332,345,373.9,397.11
590,393,393,363,429.01,439.28000000000003
591,393,400,318,437.53,404.64
592,357,359,382,378.88,429.91
593,320,375,349,398.83,392.41
594,357,354,322,386.39,396.9
595,378,366,325,448.51,396.55
596,353,359,328,400.16,377.94
597,374,378,317,394.94,416.17
598,324,324,320,362.61,359.09
599,358,372,318,366.93,388.48
600,315,313,304,379.05,408.71
601,327,322,301,354.58,387.13
602,322,338,311,391.43,403.61
603,340,328,373,385.69,346.66
604,345,359,349,401.27,371.36
605,324,355,320,386.83,353.41
606,363,322,336,386.92,359.21
607,348,357,318,387.29,363.15
608,360,384,288,395.14,401.28000000000003
609,361,365,366,436.24,428.83
610,370,405,307,420.91,418.85
611,371,343,326,363.25,351.0
612,370,399,362,401.01,375.64
613,341,365,338,425.87,370.35
614,361,352,350,404.91,413.17
615,372,377,330,406.93,428.39
616,342,380,341,404.42,419.03
617,387,354,369,410.02,399.82
618,342,343,311,412.65,396.94
619,350,338,323,400.35,375.6
620,354,353,345,380.42,384.85
621,378,366,352,413.82,389.97
622,359,353,332,375.15,405.86
623,345,341,339,415.68,398.12
624,363,335,322,355.99,384.65
625,320,329,304,356.92,376.5
626,362,337,302,410.55,388.11
627,379,362,316,365.53,358.26
628,346,342,323,360.23,353.51
629,327,344,325,343.15,382.26
630,363,349,303,390.66,402.49
631,345,372,380,403.33,402.03
632,340,340,329,388.2,358.5
633,325,345,316,371.51,395.79
634,336,355,307,382.73,402.08
635,360,361,355,384.82,366.61
636,358,345,331,353.78,393.34000000000003
637,357,344,355,366.79,388.03000000000003
638,362,377,341,402.85,403.37
639,342,352,329,397.53,412.05
640,341,333,301,372.64,383.25
641,360,372,341,419.94,379.9
642,345,322,299,301.72,391.26
643,334,348,334,371.49,403.35
644,334,334,295,394.56,384.5
645,328,344,302,369.82,395.88
646,395,376,327,436.24,389.42
647,357,320,328,385.49,402.14
648,380,370,345,379.94,402.51
649,342,342,371,386.51,346.71
650,371,399,366,423.54,476.06
651,317,319,314,341.63,406.92
652,340,362,288,403.21,408.01
653,334,384,342,400.59,431.48
654,330,358,334,416.3,399.88
655,306,318,325,399.03000000000003,362.38
656,364,341,372,382.29,374.63
657,352,394,324,421.21,433.07
658,363,305,306,370.95,386.03
659,298,281,311,373.96999999999997,349.04
660,343,342,322,362.4,345.49
661,329,334,322,401.73,388.24
662,362,342,313,386.86,430.98
663,375,348,304,416.03,395.83
664,342,329,308,397.72,373.09
665,338,351,327,347.95,390.22
666,342,366,367,406.99,407.83
667,319,324,318,353.12,385.56
668,339,362,352,398.39,392.17
669,342,340,333,408.88,356.43
670,334,326,298,400.69,364.86
671,365,370,308,411.86,434.3
672,352,362,340,399.21,400.9
673,367,338,352,404.98,425.61
674,358,385,349,402.07,400.98
675,394,377,358,424.53000000000003,407.86
676,352,378,367,375.02,393.66
677,345,349,314,374.76,409.46
678,351,354,298,367.29,391.67
679,350,349,355,373.5,401.96
680,350,327,277,382.65,387.87
681,341,331,314,355.0,410.29
682,316,332,316,341.19,364.06
683,354,311,342,362.36,349.17
684,341,323,306,400.78000000000003,384.59
685,420,392,383,459.06,447.12
686,369,361,328,392.29,404.99
687,367,357,299,374.0,363.68
688,338,330,325,391.99,384.95
689,375,370,336,394.32,376.19
690,317,343,325,334.85,369.04
691,344,324,350,357.34,371.72
692,358,357,354,414.69,399.03
693,334,328,321,338.28,353.53
694,375,347,335,380.92,384.77
695,343,344,342,393.23,416.08
696,354,348,335,397.29,389.71
697,337,373,359,353.92,378.17
698,352,355,349,364.88,412.71
699,351,386,316,403.19,385.19
700,331,338,284,358.53,353.29
701,358,354,313,396.03,412.29
702,380,375,324,425.72,422.4
703,343,337,320,398.73,359.39
704,363,322,347,357.81,364.15
705,356,329,350,393.12,368.05
706,315,313,287,376.54,339.49
707,349,364,316,375.07,376.37
708,334,343,325,387.93,402.72
709,377,382,341,413.41,402.58
710,345,327,339,411.11,382.59
711,351,367,342,403.31,409.31
712,332,335,323,367.85,388.35
713,365,414,310,426.99,386.37
714,353,368,356,397.05,413.85
715,358,352,318,386.59,404.91
716,362,352,334,386.33,385.21999999999997
717,374,371,313,410.48,378.04
718,361,354,339,381.95,389.1
719,364,345,291,395.17,370.57
720,357,336,365,414.26,361.53
721,341,347,321,406.8,383.33
722,362,361,359,422.57,391.24
723,358,377,347,381.89,427.85
724,343,363,319,385.86,394.2
725,344,350,321,380.99,376.7
726,374,354,325,412.93,427.74
727,322,345,312,399.46,376.24
728,373,363,311,373.44,372.06
729,337,348,371,360.89,383.32
730,374,356,324,424.23,388.01
731,340,338,308,404.8,396.08
732,318,334,347,394.88,384.08
733,340,336,342,411.41,400.45
734,359,353,353,405.86,435.94
735,335,357,315,391.49,360.61
736,389,371,326,438.17,416.04
737,342,329,305,369.34,367.73
738,344,369,309,386.04,419.69
739,344,359,369,414.14,383.32
740,374,368,317,388.83,381.43
741,352,355,332,395.52,402.62
742,359,329,310,369.57,366.59
743,341,339,358,413.93,386.25
744,373,375,292,372.11,405.67
745,350,345,332,431.18,414.88
746,346,363,344,364.39,348.52
747,369,364,333,413.8,404.44
748,348,319,319,374.5,399.04
749,371,387,337,406.83,382.95
750,360,341,327,381.09,350.09
751,360,362,333,379.44,393.95
752,370,355,362,384.62,418.77
753,371,382,304,376.12,416.77
754,393,355,363,410.22,417.95
755,333,340,326,419.33,389.34
756,355,355,358,370.62,400.31
757,370,353,286,411.43,384.97
758,361,345,364,431.18,385.14
759,349,329,307,377.96,403.78
760,325,339,303,377.29,395.05
761,344,345,342,373.99,389.44
762,363,382,344,414.98,426.54
763,347,347,318,384.16,434.85
764,384,352,345,382.13,390.46
765,353,366,304,397.85,388.0
766,400,361,358,429.05,409.03
767,344,365,313,388.26,333.27
768,348,360,329,416.18,424.57
769,341,337,334,390.68,381.73
770,372,347,320,419.82,388.94
771,384,345,351,430.07,377.75
772,328,339,351,382.47,383.07
773,358,348,335,387.39,399.13
774,358,328,307,417.08,361.76
775,347,324,325,340.5,390.01
776,362,326,313,400.22,387.47
777,363,388,342,411.96,417.94
778,328,309,313,394.44,364.79
779,344,333,307,361.11,365.84
780,363,363,336,382.5,393.17
781,361,363,329,378.26,384.43
782,333,396,304,387.6,369.56
783,333,360,335,385.13,393.71999999999997
784,328,344,349,389.69,382.42
785,341,347,331,389.11,358.8
786,382,320,325,392.2,347.73
787,372,333,305,382.88,407.04
788,353,361,322,379.44,413.68
789,389,380,362,437.02,401.51
790,405,367,362,449.4,421.27
791,341,350,273,426.84,378.87
792,361,343,313,397.18,381.81
793,321,329,300,400.19,395.63
794,352,331,330,443.27,404.3
795,396,373,266,386.21,368.38
796,348,359,348,406.64,380.22
797,349,363,308,400.02,373.16
798,354,333,329,382.88,355.29
799,354,310,334,361.86,374.39
800,369,334,342,389.92,372.45
801,332,352,332,398.2,354.47
802,324,333,296,368.05,391.49
803,329,331,327,415.78,404.36
804,357,322,352,394.25,405.19
805,354,345,356,381.49,385.83
806,368,366,332,393.29,410.64
807,353,328,340,380.02,405.49
808,334,325,336,371.63,387.02
809,353,336,357,392.73,368.8
810,361,356,354,374.17,403.43
811,389,363,337,441.63,414.9
812,317,349,328,370.88,408.1
813,327,328,310,374.46,367.93
814,358,339,288,381.71,406.92
815,366,382,346,474.35,467.33
816,355,369,334,396.9,384.54
817,350,363,333,385.52,377.41
818,363,340,327,419.96999999999997,390.28
819,356,353,334,383.06,423.03000000000003
820,361,331,352,368.85,369.1
821,340,368,342,399.56,386.68
822,331,353,312,405.36,385.28
823,315,340,286,358.09,352.42
824,349,353,329,370.91,377.07
825,318,347,269,389.02,378.56
826,345,343,331,365.99,408.33
827,361,352,323,409.75,392.36
828,341,337,327,379.23,374.03000000000003
829,356,337,334,367.7,391.44
830,372,384,357,395.71999999999997,428.98
831,333,338,295,380.42,363.91
832,323,334,277,398.8,360.91
833,352,335,321,387.53,403.05
834,334,346,318,363.48,362.94
835,327,341,296,356.31,373.63
836,354,340,326,375.05,376.62
837,352,372,334,375.61,370.2
838,344,353,314,383.98,378.76
839,352,348,324,368.16,411.44
840,352,346,328,381.95,381.91
841,327,341,340,419.0,388.01
842,331,334,306,337.08,386.94
843,329,343,317,339.6,389.58
844,325,347,310,420.61,392.79
845,347,354,341,367.97,373.39
846,345,338,324,382.71,369.0
847,385,338,346,396.89,366.16
848,364,335,313,410.23,360.52
849,325,318,304,333.64,370.03
850,352,340,303,375.88,408.57
851,343,312,313,382.95,377.41
852,342,337,327,359.55,426.48
853,332,336,325,365.96,387.57
854,348,338,325,387.38,385.61
855,327,356,325,386.01,356.39
856,333,354,319,415.35,347.74
857,334,396,377,405.71999999999997,397.65
858,356,345,366,365.64,386.32
859,336,369,315,365.47,387.79
