id_usuario,ubicacion,basura_papel,basura_plastico,basura_resto,basura_organico,basura_cristal,no_recicla,edad,genero,estado_civil,hijos,tipo_vivienda,nivel_estudios,profesion
39,0,1,0,1,1,0,0,74,1,1,4,1,5,11
40,0,1,0,1,0,0,0,22,1,0,0,3,4,9
41,0,1,0,1,0,0,0,24,1,0,0,0,3,9
42,0,1,1,0,1,1,0,19,1,0,0,0,5,16
43,0,1,0,0,0,0,0,37,0,2,2,0,4,16
44,0,1,1,0,0,0,0,71,1,3,1,0,5,16
45,0,1,1,1,1,0,0,32,0,2,2,0,4,13
46,0,0,1,0,0,0,0,66,1,1,1,0,5,16
47,0,1,1,0,1,0,0,24,0,0,0,0,4,11
48,0,1,1,0,0,0,0,24,1,0,0,0,4,3
49,0,1,1,1,1,1,0,30,0,0,0,0,5,5
50,0,1,1,1,0,0,0,27,1,0,0,0,3,3
51,0,1,1,0,1,0,0,25,1,0,0,1,3,8
52,0,0,1,1,0,0,0,40,0,2,0,1,4,12
53,0,1,1,1,0,0,0,19,1,0,0,0,5,0
54,0,1,0,0,0,0,0,33,0,2,1,2,3,15
55,0,1,0,0,1,1,0,34,1,0,0,0,4,2
56,0,1,1,0,1,0,0,41,1,0,0,2,5,16
57,0,1,1,1,1,0,0,19,0,0,0,0,5,5
58,0,1,1,0,0,0,0,29,0,0,0,0,4,19
59,0,1,1,1,1,0,0,37,1,0,0,0,5,4
60,0,1,1,0,0,0,0,37,0,2,1,0,3,9
61,0,1,1,1,0,0,0,31,0,2,1,0,4,16
62,0,1,0,0,0,0,0,65,1,2,0,3,4,4
63,0,1,0,0,1,0,0,20,0,0,0,0,5,12
64,0,1,1,0,0,0,0,22,0,0,0,0,5,9
65,0,1,0,1,0,1,0,35,0,2,2,0,3,14
66,0,1,1,0,0,1,0,61,1,2,1,1,5,8
67,0,1,1,0,0,0,0,63,1,2,2,2,0,1
68,0,0,1,1,0,0,0,20,1,0,0,3,4,12
69,0,1,1,0,0,0,0,20,0,0,0,0,5,5
70,0,1,1,0,0,0,0,32,0,0,0,0,5,15
71,0,1,1,1,0,0,0,36,1,2,2,0,1,8
72,0,1,1,1,0,0,0,28,1,0,0,0,4,15
73,0,1,1,0,0,0,0,39,0,2,1,1,3,8
74,0,0,1,1,1,1,0,21,0,0,0,0,4,15
75,0,0,1,0,0,1,0,32,1,2,0,0,5,11
76,0,1,1,0,1,0,0,23,1,0,0,0,4,5
77,0,1,1,0,1,0,0,73,0,1,1,0,4,14
78,0,1,0,1,0,1,0,28,0,0,0,2,3,12
79,0,1,1,0,1,0,0,40,1,0,0,0,5,15
80,0,0,1,1,1,0,0,20,1,0,0,0,3,0
81,0,1,1,0,1,0,0,24,0,0,0,0,5,2
82,0,1,1,1,0,1,0,25,0,0,0,0,5,8
83,0,0,1,0,0,1,0,24,0,0,0,0,5,11
84,0,1,0,1,0,0,0,52,1,2,2,3,1,12
85,0,1,1,0,0,1,0,33,0,0,0,0,4,23
86,0,1,1,1,0,0,0,41,0,2,1,1,4,11
87,0,1,1,0,1,0,0,39,1,0,0,1,1,0
88,0,1,1,0,0,0,0,27,1,0,0,3,4,8
89,0,1,0,1,0,0,0,32,0,2,2,0,4,14
90,0,1,1,1,1,0,0,18,1,0,0,2,4,2
91,0,1,0,1,0,1,0,31,1,2,1,0,4,7
92,0,1,0,0,0,1,0,29,1,0,0,0,4,3
93,0,1,0,0,0,0,0,26,0,0,0,3,1,3
94,0,1,1,0,0,0,0,29,0,0,0,0,3,14
95,0,0,1,0,1,0,0,62,1,1,3,0,4,0
96,0,1,0,0,1,1,0,27,1,0,0,0,4,13
97,0,1,1,1,0,0,0,34,0,2,1,0,5,0
98,0,0,0,1,1,0,0,22,1,0,0,1,5,10
99,0,1,1,0,0,0,0,25,1,0,0,0,1,11
100,0,0,1,1,1,0,0,33,1,2,2,0,5,6
101,0,1,1,0,0,0,0,67,1,1,0,0,2,4
102,0,1,1,0,1,0,0,28,1,0,0,1,4,20
103,0,1,1,1,1,0,0,33,0,2,0,0,2,8
104,0,1,1,1,0,0,0,27,1,0,0,0,5,23
105,0,1,1,0,0,0,0,22,0,0,0,3,4,4
106,0,0,1,1,1,0,0,65,0,1,2,1,4,16
107,0,0,1,1,0,1,0,29,1,0,0,0,3,11
108,0,1,1,0,1,0,0,52,0,2,2,2,7,10
109,0,1,1,1,1,1,0,21,1,0,0,0,5,13
110,0,1,1,0,1,1,0,21,1,0,0,2,3,11
111,0,1,1,0,0,0,0,23,1,0,0,1,4,1
112,0,1,1,0,1,0,0,29,0,0,0,0,3,1
113,0,1,0,0,0,0,0,28,1,0,0,0,6,15
114,0,1,1,0,0,1,0,27,1,0,0,0,1,8
115,0,1,1,0,1,0,0,19,1,0,0,0,0,21
116,0,1,1,1,0,1,0,19,1,0,0,1,5,18
117,0,0,0,1,0,1,0,23,0,0,0,0,3,9
118,0,1,1,0,1,0,0,63,1,3,0,1,4,9
119,0,1,0,0,1,0,0,24,0,0,0,0,4,2
120,0,1,0,0,1,0,0,29,1,0,0,0,5,7
121,0,1,1,0,1,1,0,27,0,0,0,0,4,11
122,0,0,1,0,0,0,0,33,1,2,1,0,1,1
123,0,1,1,0,1,0,0,30,1,0,0,1,5,2
124,0,1,1,0,0,0,0,22,1,0,0,1,7,6
125,0,1,1,0,0,0,0,42,0,2,2,0,7,0
126,0,1,1,0,1,0,0,21,0,0,0,0,7,23
127,0,1,1,0,0,0,0,19,1,0,0,0,5,13
128,0,0,1,1,0,0,0,21,0,0,0,0,3,23
129,0,1,1,0,0,0,0,75,1,2,2,0,4,13
130,0,1,1,1,1,0,0,26,0,0,0,0,6,14
131,0,1,1,0,1,0,0,32,1,2,0,1,5,5
132,0,1,0,0,0,0,0,21,1,0,0,3,2,8
133,0,0,1,0,0,0,0,19,1,0,0,0,5,1
134,0,1,0,1,0,0,0,64,1,2,0,2,4,4
135,0,1,0,1,1,0,0,30,0,0,0,0,3,8
136,0,0,0,0,0,0,1,28,1,0,0,1,4,16
137,0,1,1,0,1,1,0,48,0,2,2,0,0,23
138,0,1,0,0,1,1,0,26,1,0,0,0,4,13
139,0,1,1,0,1,1,0,78,1,1,0,0,3,17
140,0,1,1,1,1,0,0,59,0,0,0,0,5,2
141,0,1,0,0,1,0,0,70,0,1,1,0,4,18
142,0,1,1,0,0,0,0,37,1,2,0,3,3,6
143,0,1,1,0,1,0,0,26,1,0,0,0,4,14
144,0,1,1,0,0,1,0,43,1,2,2,0,4,3
145,0,1,1,1,0,0,0,24,0,0,0,0,4,23
146,0,1,0,1,0,1,0,34,1,2,2,0,7,6
147,0,0,1,0,1,0,0,61,0,2,1,1,2,13
148,0,0,1,0,0,1,0,25,0,0,0,0,7,13
149,0,1,0,0,1,0,0,26,1,0,0,0,0,7
150,0,1,0,1,0,0,0,29,1,0,0,0,1,1
151,0,1,0,0,0,0,0,26,0,0,0,0,5,6
152,0,1,0,1,1,0,0,50,0,2,1,0,3,1
153,0,1,1,1,1,0,0,48,0,0,0,0,4,8
154,0,0,1,0,0,1,0,22,1,0,0,0,5,11
155,0,1,0,0,0,0,0,32,1,0,0,0,0,3
156,0,0,1,1,1,0,0,19,1,0,0,0,2,1
157,0,1,1,1,0,0,0,20,0,0,0,0,7,8
158,0,1,1,0,0,0,0,37,1,2,0,0,3,5
159,0,0,1,1,1,0,0,24,0,0,0,0,4,18
160,0,1,0,0,1,0,0,51,0,2,0,1,5,6
161,0,1,1,0,0,1,0,25,0,0,0,0,0,8
162,0,1,1,0,0,0,0,48,1,0,0,0,5,10
163,0,1,1,0,0,0,0,26,0,0,0,1,1,3
164,0,1,1,0,1,0,0,33,0,2,0,1,3,0
165,0,1,0,0,0,1,0,33,0,2,0,0,5,8
166,0,1,1,1,0,0,0,54,1,2,0,0,4,15
167,0,0,1,0,0,1,0,21,1,0,0,0,5,11
168,0,1,1,0,1,1,0,46,1,0,0,0,5,11
169,0,1,1,1,0,0,0,18,0,0,0,0,2,3
170,0,1,1,1,0,0,0,30,0,2,0,0,5,13
171,0,1,1,1,0,0,0,70,0,2,0,0,3,8
172,0,1,1,0,1,0,0,23,0,0,0,0,4,14
173,0,1,1,1,1,0,0,26,0,0,0,0,6,18
174,0,1,1,0,0,0,0,35,0,2,0,3,4,23
175,0,1,1,1,1,0,0,32,1,0,0,0,7,6
176,0,1,0,1,0,0,0,76,1,2,2,0,7,11
177,0,1,1,0,0,0,0,50,1,0,0,0,2,23
178,0,1,1,0,0,0,0,27,1,0,0,0,2,11
179,0,1,0,0,0,0,0,52,1,0,0,0,5,23
180,0,1,0,0,0,0,0,30,0,0,0,0,3,10
181,0,1,1,1,0,0,0,21,0,0,0,0,4,7
182,0,1,1,0,0,0,0,33,0,2,1,0,4,7
183,0,1,1,0,0,0,0,56,1,2,0,2,2,14
184,0,1,1,0,0,1,0,40,1,2,0,0,3,18
185,0,1,0,0,0,1,0,31,1,0,0,0,5,15
186,0,0,1,0,1,0,0,32,1,2,1,0,1,4
187,0,1,1,0,0,0,0,50,0,2,0,0,3,10
188,0,1,1,0,0,1,0,20,1,0,0,0,0,23
189,0,1,1,0,1,0,0,24,0,0,0,0,4,11
190,0,1,0,0,0,0,0,33,0,2,2,0,0,3
191,0,1,1,0,1,0,0,22,1,0,0,0,3,12
192,0,1,1,0,0,0,0,29,0,0,0,2,4,18
193,0,0,1,1,0,0,0,28,0,0,0,0,4,14
194,0,1,1,0,0,0,0,19,1,0,0,0,2,9
195,0,1,1,1,0,0,0,22,0,0,0,0,3,14
196,0,1,1,0,0,1,0,32,1,2,2,1,0,11
197,0,1,0,1,0,1,0,80,1,3,2,1,1,0
198,0,1,1,1,1,0,0,22,0,0,0,1,5,14
199,0,1,1,1,0,0,0,24,0,0,0,3,5,6
200,0,1,1,0,0,0,0,24,1,0,0,0,4,17
201,0,1,1,0,0,1,0,25,1,0,0,3,3,0
202,0,1,1,1,0,1,0,76,0,3,2,0,3,14
203,0,1,1,1,0,0,0,20,1,0,0,0,5,10
204,0,1,1,1,1,1,0,25,1,0,0,0,3,8
205,0,0,1,1,0,0,0,35,0,0,0,0,2,4
206,0,1,0,0,1,0,0,40,1,0,0,0,5,8
207,0,1,1,1,1,0,0,34,0,0,0,0,2,8
208,0,1,1,0,1,0,0,21,0,0,0,0,4,1
209,0,1,1,1,0,0,0,73,0,1,2,0,4,3
210,0,1,1,0,0,1,0,24,0,0,0,3,6,0
211,0,1,1,0,1,0,0,19,0,0,0,0,0,18
212,0,1,1,0,0,1,0,34,0,2,0,0,4,3
213,0,1,1,1,1,1,0,26,1,0,0,0,1,10
214,0,1,0,1,0,0,0,18,0,0,0,0,7,12
215,0,1,1,1,1,0,0,45,0,0,0,1,3,10
216,0,1,1,0,0,0,0,62,0,3,1,0,2,15
217,0,1,1,1,0,0,0,30,1,0,0,2,5,13
218,0,1,1,0,1,1,0,32,0,0,0,0,4,22
219,0,1,1,0,0,1,0,29,1,0,0,0,5,23
220,0,1,1,1,0,0,0,67,0,2,0,2,0,14
221,0,1,1,0,1,1,0,60,1,2,0,0,3,12
222,0,1,0,1,0,1,0,41,1,2,2,0,1,1
223,0,0,1,1,0,0,0,24,1,0,0,0,5,6
224,0,1,1,1,0,0,0,20,1,0,0,0,2,8
225,0,1,1,0,1,0,0,57,0,0,0,0,5,7
226,0,0,1,0,1,1,0,61,0,2,1,0,5,8
227,0,1,1,1,0,0,0,34,0,2,0,0,1,17
228,0,0,1,0,1,1,0,19,1,0,0,0,4,10
229,0,1,0,1,0,0,0,34,0,2,1,0,4,22
230,0,1,1,1,0,0,0,80,0,3,2,0,5,7
231,0,1,1,0,0,0,0,55,1,0,0,0,5,3
232,0,1,1,1,1,0,0,49,0,2,1,2,7,1
233,0,1,1,1,0,0,0,41,0,0,0,0,2,13
234,0,1,1,0,1,0,0,23,0,0,0,0,6,6
235,0,0,1,0,0,0,0,27,0,0,0,0,5,14
236,0,1,0,1,1,0,0,75,1,2,2,3,5,15
237,0,1,1,1,0,0,0,22,0,0,0,1,5,14
238,0,1,1,0,0,1,0,72,0,3,0,0,7,1
239,0,1,1,0,0,1,0,23,0,0,0,0,2,0
240,0,1,1,0,1,0,0,27,1,0,0,1,5,14
241,0,0,0,0,0,1,0,74,0,3,1,1,2,10
242,0,1,1,1,0,1,0,34,1,0,0,0,3,3
243,0,1,1,0,0,0,0,19,1,0,0,0,0,21
244,0,1,1,0,0,0,0,25,0,0,0,1,3,9
245,0,1,1,0,0,0,0,27,0,0,0,0,4,5
246,0,1,0,1,0,1,0,26,1,0,0,0,5,12
247,0,1,1,0,0,0,0,28,0,0,0,0,5,1
248,0,1,0,1,0,0,0,80,0,1,2,0,5,7
249,0,1,1,0,1,1,0,18,1,0,0,0,2,15
250,0,1,1,0,0,0,0,26,1,0,0,0,4,16
251,0,0,1,1,0,0,0,28,1,0,0,0,4,5
252,0,1,1,1,1,0,0,39,0,0,0,3,4,7
253,0,1,1,0,1,0,0,46,1,0,0,0,5,8
254,0,1,0,1,1,0,0,24,1,0,0,2,5,4
255,0,1,1,0,0,0,0,33,0,2,2,0,3,5
256,0,1,1,0,1,0,0,62,0,1,1,0,4,19
257,0,1,0,1,0,0,0,33,1,2,1,2,5,10
258,0,1,1,0,0,1,0,31,1,2,1,0,4,7
259,0,1,1,1,1,0,0,22,0,0,0,1,5,15
260,0,1,1,1,0,0,0,28,1,0,0,0,7,2
261,0,1,1,0,1,0,0,27,1,0,0,1,5,1
262,0,1,1,0,1,1,0,73,1,1,0,0,3,6
263,0,1,1,0,0,0,0,34,0,2,0,0,5,8
264,0,1,1,1,0,0,0,79,1,2,1,1,2,10
265,0,1,0,0,0,0,0,49,0,0,0,1,5,0
266,0,1,1,0,0,1,0,23,1,0,0,1,5,12
267,0,1,1,1,0,0,0,21,1,0,0,0,5,5
268,0,1,1,1,1,0,0,26,1,0,0,1,2,9
269,0,1,1,0,0,0,0,21,0,0,0,1,3,14
270,0,1,0,1,0,0,0,21,1,0,0,0,3,23
271,0,1,1,1,1,0,0,25,0,0,0,1,2,16
272,0,0,0,0,0,0,1,31,0,2,2,0,2,14
273,0,1,1,0,0,0,0,20,1,0,0,3,5,7
274,0,1,1,0,0,1,0,56,0,2,1,1,3,0
275,0,0,0,0,1,0,0,75,1,1,0,0,3,0
276,0,1,1,1,1,0,0,34,0,0,0,0,1,2
277,0,1,1,0,1,0,0,51,0,0,0,2,2,10
278,0,0,1,1,0,0,0,46,0,2,2,0,5,8
279,0,1,1,0,1,0,0,66,0,2,2,2,4,12
280,0,0,1,0,0,0,0,31,1,2,0,0,4,15
281,0,1,1,0,1,0,0,20,1,0,0,0,0,21
282,0,1,1,1,0,0,0,26,0,0,0,1,3,16
283,0,1,1,0,1,0,0,18,1,0,0,0,4,0
284,0,1,1,0,0,1,0,23,0,0,0,0,5,2
285,0,1,0,1,0,0,0,66,1,1,4,3,2,12
286,0,1,1,0,1,0,0,51,0,0,0,0,5,15
287,0,1,1,1,0,0,0,28,1,0,0,0,2,10
288,0,1,1,0,0,1,0,46,0,0,0,0,3,8
289,0,1,1,0,1,1,0,26,0,0,0,0,4,18
290,0,1,1,1,0,0,0,18,0,0,0,0,1,18
291,0,1,0,0,1,0,0,39,1,0,0,0,4,16
292,0,1,1,0,1,0,0,54,1,0,0,0,7,17
293,0,0,1,1,1,0,0,29,0,0,0,1,4,16
294,0,1,0,0,0,0,0,31,1,0,0,0,3,2
295,0,0,1,0,1,1,0,33,1,2,2,0,1,23
296,0,1,0,0,0,0,0,31,0,2,0,1,5,6
297,0,1,1,1,1,0,0,78,0,2,2,0,3,17
298,0,1,0,0,1,1,0,20,1,0,0,0,4,8
299,0,1,0,0,0,1,0,74,0,1,4,0,1,18
300,0,1,1,0,1,0,0,77,1,1,0,1,2,11
301,0,0,0,0,0,1,0,23,1,0,0,0,4,10
302,0,1,0,1,0,0,0,47,0,0,0,2,2,18
303,0,0,1,0,1,0,0,30,0,0,0,1,5,5
304,0,1,1,1,1,1,0,75,0,1,4,0,0,15
305,0,1,1,1,1,0,0,26,1,0,0,0,3,5
306,0,0,1,1,1,1,0,80,1,1,4,0,5,4
307,0,1,1,0,1,0,0,20,0,0,0,0,4,16
308,0,1,0,1,1,0,0,22,1,0,0,1,5,16
309,0,1,0,1,0,1,0,27,1,0,0,0,2,16
310,0,1,0,0,1,0,0,19,0,0,0,1,4,15
311,0,1,1,0,1,0,0,32,0,2,1,0,5,23
312,0,1,1,0,1,0,0,60,0,1,1,0,2,15
313,0,1,1,0,0,0,0,30,0,2,1,0,5,12
314,0,1,1,1,0,0,0,41,1,2,2,0,2,17
315,0,1,1,0,1,0,0,23,1,0,0,1,3,12
316,0,1,0,0,1,0,0,23,0,0,0,0,5,8
317,0,1,1,1,0,0,0,33,1,0,0,0,4,2
318,0,0,1,0,0,0,0,75,0,1,2,2,3,16
319,0,1,1,0,0,0,0,50,1,0,0,2,4,20
320,0,1,0,1,0,0,0,28,0,0,0,0,6,15
321,0,1,0,0,1,0,0,58,1,2,1,1,5,9
322,0,1,1,0,1,0,0,49,0,2,0,0,5,7
323,0,1,1,1,1,0,0,33,0,0,0,0,5,6
324,0,0,1,0,0,0,0,32,1,2,0,0,5,11
325,0,1,1,0,1,1,0,28,0,0,0,1,4,23
326,0,1,1,0,1,0,0,42,0,2,2,0,1,1
327,0,1,0,0,1,0,0,44,1,2,2,3,1,2
328,0,1,1,1,0,0,0,18,0,0,0,0,4,17
329,0,0,1,1,0,0,0,23,0,0,0,2,4,14
330,0,1,1,1,0,0,0,28,0,0,0,0,4,14
331,0,1,1,1,1,1,0,56,1,2,1,0,5,6
332,0,1,1,0,0,0,0,52,0,0,0,0,4,14
333,0,1,1,1,1,0,0,19,0,0,0,0,3,15
334,0,1,1,0,0,1,0,45,1,0,0,0,3,16
335,0,1,0,1,0,0,0,18,0,0,0,0,3,15
336,0,0,1,0,1,0,0,21,1,0,0,2,0,8
337,0,1,0,0,0,0,0,37,1,0,0,0,5,1
338,0,1,1,0,0,0,0,23,1,0,0,1,3,2
339,0,1,1,1,1,1,0,32,1,0,0,1,5,11
340,0,1,0,1,0,1,0,26,1,0,0,0,5,6
341,0,1,0,0,1,1,0,29,1,0,0,0,4,5
342,0,1,1,1,0,0,0,34,0,2,1,0,4,11
343,0,1,1,1,1,1,0,71,1,1,4,0,5,7
344,0,1,1,1,1,0,0,28,1,0,0,1,4,11
345,0,0,0,1,1,1,0,41,0,0,0,0,1,12
346,0,0,1,0,0,1,0,22,1,0,0,0,5,10
347,0,0,1,1,1,0,0,26,1,0,0,3,4,5
348,0,0,1,0,0,0,0,47,1,2,1,0,3,10
349,0,1,1,0,1,0,0,60,1,3,3,0,5,11
350,0,0,1,0,0,0,0,27,1,0,0,0,2,17
351,0,1,0,0,1,0,0,33,1,2,2,1,5,9
352,0,0,1,1,0,0,0,34,0,2,0,0,7,5
353,0,1,0,0,0,0,0,18,0,0,0,0,5,11
354,0,1,0,1,0,0,0,24,1,0,0,0,2,5
355,0,0,1,1,0,0,0,46,0,0,0,0,1,18
356,0,1,1,0,1,1,0,47,0,2,1,0,2,13
357,0,1,1,0,1,0,0,33,1,0,0,3,4,23
358,0,1,1,0,0,0,0,34,0,0,0,0,5,8
359,0,1,1,1,1,1,0,29,0,0,0,0,4,1
360,0,0,1,0,0,0,0,32,1,2,2,0,5,15
361,0,0,0,0,0,0,1,18,1,0,0,1,4,8
362,0,1,0,1,0,1,0,38,0,2,1,0,3,0
363,0,0,1,1,0,0,0,30,0,0,0,0,4,23
364,0,0,1,0,1,1,0,35,0,2,2,0,4,10
365,0,1,1,0,0,0,0,73,0,2,2,0,4,3
366,0,1,1,1,0,0,0,20,1,0,0,0,4,0
367,0,1,1,0,0,0,0,72,1,1,2,1,4,17
368,0,1,1,1,1,0,0,24,1,0,0,3,0,18
369,0,0,0,0,1,1,0,23,1,0,0,1,6,4
370,0,1,1,0,0,0,0,21,1,0,0,0,5,7
371,0,1,1,0,0,0,0,30,0,2,0,0,4,20
372,0,1,1,1,1,0,0,23,0,0,0,0,4,7
373,0,0,1,0,1,0,0,28,1,0,0,0,3,9
374,0,1,1,0,0,1,0,28,1,0,0,1,4,3
375,0,1,0,1,0,0,0,19,1,0,0,0,4,0
376,0,1,1,0,0,0,0,25,1,0,0,0,4,4
377,0,0,1,1,0,0,0,34,0,2,0,0,5,5
378,0,0,1,0,0,0,0,24,1,0,0,0,5,8
379,0,1,0,1,0,0,0,30,0,0,0,0,5,17
380,0,0,1,0,0,0,0,77,0,3,3,1,4,2
381,0,1,1,0,1,1,0,25,1,0,0,1,0,18
382,0,1,1,0,1,1,0,34,1,0,0,0,3,9
383,0,0,1,1,1,1,0,23,0,0,0,0,3,16
384,0,1,1,0,1,0,0,62,1,1,4,2,4,1
385,0,1,0,0,1,0,0,22,0,0,0,1,5,9
386,0,1,1,1,0,1,0,51,0,0,0,0,7,15
387,0,1,1,1,0,0,0,39,1,0,0,0,4,9
388,0,0,0,1,0,0,0,25,1,0,0,1,7,2
389,0,1,1,0,0,1,0,29,0,0,0,0,0,9
390,0,1,1,0,1,0,0,52,0,2,1,1,0,4
391,0,1,1,0,1,0,0,19,1,0,0,0,3,6
392,0,1,1,0,0,0,0,58,1,0,0,0,4,23
393,0,1,1,0,1,0,0,67,1,2,1,0,4,23
394,0,0,1,0,1,0,0,44,0,2,2,0,5,6
395,0,0,0,0,0,1,0,45,1,2,2,0,5,2
396,0,1,0,0,1,0,0,33,1,0,0,0,4,10
397,0,1,0,0,1,1,0,57,0,0,0,0,5,6
398,0,1,1,1,0,0,0,28,0,0,0,0,4,23
399,0,1,1,1,0,1,0,18,1,0,0,0,4,20
400,0,0,1,1,0,0,0,28,0,0,0,0,2,17
401,0,1,1,1,0,1,0,33,1,2,2,0,4,1
402,0,1,1,1,1,0,0,24,1,0,0,0,0,17
403,0,1,1,0,0,0,0,34,0,0,0,0,1,6
404,0,1,0,0,1,0,0,34,0,0,0,0,3,18
405,0,1,0,0,0,0,0,63,1,3,3,2,1,13
406,0,1,1,0,1,0,0,54,1,0,0,0,0,9
407,0,1,1,0,1,0,0,47,1,0,0,0,4,4
408,0,1,1,0,0,0,0,18,0,0,0,0,0,12
409,0,0,1,0,1,1,0,21,0,0,0,0,0,9
410,0,0,1,0,0,0,0,30,0,0,0,0,5,16
411,0,1,1,1,1,0,0,25,0,0,0,0,7,13
412,0,1,1,0,1,0,0,25,0,0,0,0,4,7
413,0,0,0,0,0,1,0,20,1,0,0,0,5,16
414,0,1,1,0,1,0,0,55,0,2,2,0,5,18
415,0,1,1,0,0,1,0,23,1,0,0,0,5,17
416,0,1,0,0,0,0,0,22,1,0,0,0,4,23
417,0,1,0,0,0,0,0,24,0,0,0,3,4,7
418,0,1,1,0,0,1,0,36,0,2,0,0,4,14
419,0,0,1,0,1,0,0,50,1,2,1,0,1,3
420,0,1,1,0,1,0,0,29,0,0,0,0,5,17
421,0,1,1,0,1,1,0,31,0,2,0,0,4,22
422,0,1,1,0,0,0,0,29,1,0,0,0,4,10
423,0,1,1,0,1,0,0,59,0,2,2,0,0,17
424,0,1,1,1,0,0,0,34,1,2,2,0,4,2
425,0,1,1,0,0,0,0,18,1,0,0,0,3,14
426,0,0,0,0,0,0,1,75,0,2,2,0,7,4
427,0,0,1,0,1,0,0,75,0,1,4,1,3,13
428,0,1,1,0,1,0,0,28,1,0,0,0,5,15
429,0,1,1,0,0,0,0,35,1,0,0,0,2,10
430,0,0,1,0,0,1,0,22,0,0,0,0,2,23
431,0,0,1,1,1,0,0,33,0,2,1,1,3,11
432,0,1,1,1,1,0,0,21,0,0,0,0,3,14
433,0,1,1,0,0,0,0,25,1,0,0,0,7,17
434,0,1,1,0,1,1,0,62,1,3,2,1,3,15
435,0,1,1,0,0,1,0,26,0,0,0,0,5,7
436,0,0,0,0,0,0,1,23,0,0,0,0,4,3
437,0,0,1,1,0,0,0,49,0,0,0,0,4,20
438,0,1,1,1,1,0,0,26,0,0,0,0,1,9
439,0,1,1,0,1,0,0,23,1,0,0,0,2,14
440,0,1,0,0,0,0,0,19,1,0,0,0,4,17
441,0,1,1,1,1,0,0,32,1,2,1,0,5,7
442,0,0,1,0,0,1,0,72,1,3,2,0,4,17
443,0,1,1,0,1,0,0,34,0,0,0,0,3,9
444,0,1,1,0,0,0,0,18,0,0,0,0,5,16
445,0,1,1,1,0,0,0,19,0,0,0,0,5,17
446,0,1,1,1,0,0,0,19,0,0,0,0,4,16
447,0,1,0,0,0,0,0,53,1,0,0,1,2,12
448,0,1,0,0,1,0,0,46,1,2,0,3,4,1
449,0,1,1,0,0,0,0,28,1,0,0,0,6,6
450,0,1,1,0,1,0,0,20,0,0,0,2,5,14
451,0,1,1,0,0,0,0,25,1,0,0,0,2,23
452,0,0,1,1,1,1,0,27,0,0,0,0,7,8
453,0,1,1,0,1,0,0,23,0,0,0,0,2,12
454,0,0,1,0,0,0,0,24,1,0,0,0,1,14
455,0,1,1,1,1,0,0,33,1,2,0,1,5,3
456,0,1,1,0,1,0,0,19,1,0,0,1,2,16
457,0,1,0,1,1,1,0,23,0,0,0,0,1,1
458,0,1,0,1,1,0,0,53,0,0,0,0,4,3
459,0,1,1,1,0,1,0,26,0,0,0,2,5,9
460,0,1,1,0,0,0,0,55,0,2,1,0,4,19
